utc,err_arcsec,err_arcmin,sun_moon_elong_deg,moon_dist_au
2068-03-03 06:30,3.41255,0.05688,349.75,0.002387
2068-03-03 06:48,3.41246,0.05687,349.93,0.002387
2068-03-03 06:12,3.41241,0.05687,349.58,0.002387
2068-03-03 07:06,3.41211,0.05687,350.12,0.002386
2068-03-03 05:55,3.41205,0.05687,349.41,0.002387
2068-03-03 07:25,3.41149,0.05686,350.30,0.002386
2068-03-03 05:39,3.41148,0.05686,349.24,0.002387
2068-03-03 07:45,3.41057,0.05684,350.50,0.002386
2068-03-03 08:05,3.40933,0.05682,350.70,0.002386
2068-03-03 08:26,3.40774,0.05680,350.91,0.002386
2068-03-03 08:48,3.40575,0.05676,351.12,0.002386
2068-03-03 09:10,3.40334,0.05672,351.35,0.002386
2068-03-03 09:34,3.40043,0.05667,351.58,0.002386
2068-03-03 09:58,3.39697,0.05662,351.83,0.002386
2068-03-03 10:24,3.39287,0.05655,352.08,0.002386
2068-03-03 10:51,3.38803,0.05647,352.36,0.002386
2068-03-03 11:21,3.38230,0.05637,352.65,0.002386
2068-03-03 11:52,3.37537,0.05626,352.96,0.002386
2068-03-03 12:26,3.36731,0.05612,353.30,0.002385
2068-03-03 13:04,3.35746,0.05596,353.68,0.002385
2068-03-03 13:47,3.34509,0.05575,354.11,0.002385
2068-03-03 14:39,3.32874,0.05548,354.63,0.002385
2068-02-03 01:37,3.31682,0.05528,352.83,0.002399
2068-02-03 01:30,3.31682,0.05528,352.76,0.002399
2068-02-03 01:45,3.31679,0.05528,352.91,0.002399
2068-02-03 01:22,3.31677,0.05528,352.68,0.002399
2068-02-03 01:53,3.31671,0.05528,352.98,0.002399
2068-02-03 01:14,3.31669,0.05528,352.61,0.002399
2068-02-03 02:00,3.31660,0.05528,353.06,0.002399
2068-02-03 01:07,3.31657,0.05528,352.53,0.002399
2068-02-03 02:08,3.31645,0.05527,353.13,0.002399
2068-02-03 00:59,3.31642,0.05527,352.46,0.002399
2068-02-03 02:16,3.31625,0.05527,353.21,0.002399
2068-02-03 00:52,3.31623,0.05527,352.39,0.002399
2068-02-03 02:24,3.31602,0.05527,353.29,0.002398
2068-02-03 00:45,3.31600,0.05527,352.31,0.002400
